,experiment
G343_Watkins07_AVR_r17115_B_D0-SIV_RNA1_Lib1_GL102_S41_nohmrRNA_noglobinLog,30937420
G276_Watkins07_Unvax_r17103_B_D7-SIV_RNA1_Lib1_GL104_S87_nohmrRNA_noglobinLog,40210188
G209_Watkins07_AVR_r08014_B_D168_RNA1_Lib1_GL105_S60_nohmrRNA_noglobinLog,60334129
G279_Watkins07_Unvax_r17039_B_D0-SIV_RNA1_Lib1_GL102_S70_nohmrRNA_noglobinLog,40306333
G280_Watkins07_Unvax_r17103_B_D10-SIV_RNA1_Lib1_GL102_S101_nohmrRNA_noglobinLog,42338126
G278_Watkins07_AVR_r17017_B_D0-SIV_RNA1_Lib1_GL104_S33_nohmrRNA_noglobinLog,42716988
G281_Watkins07_Unvax_r18067_B_D10-SIV_RNA1_Lib1_GL104_S59_nohmrRNA_noglobinLog,41824676
G282_Watkins07_AVR_r17017_B_D3-SIV_RNA1_Lib1_GL102_S50_nohmrRNA_noglobinLog,41258687
G283_Watkins07_Unvax_r17039_B_D3-SIV_RNA1_Lib1_GL102_S89_nohmrRNA_noglobinLog,38834596
G284_Watkins07_Unvax_r17103_B_D14-SIV_RNA1_Lib1_GL104_S38_nohmrRNA_noglobinLog,37822756
G286_Watkins07_AVR_r17017_B_D7-SIV_RNA1_Lib1_GL104_S93_nohmrRNA_noglobinLog,44877329
G344_Watkins07_AVR_r17115_B_D3-SIV_RNA1_Lib1_GL102_S76_nohmrRNA_noglobinLog,29827955
G285_Watkins07_Unvax_r18067_B_D14-SIV_RNA1_Lib1_GL104_S34_nohmrRNA_noglobinLog,42932478
G210_Watkins07_AVR_r14065_B_D168_RNA2_Lib1_GL104_S2_nohmrRNA_noglobinLog,38188379
G287_Watkins07_Unvax_r17039_B_D7-SIV_RNA1_Lib1_GL102_S73_nohmrRNA_noglobinLog,35936993
G289_Watkins07_Unvax_r17039_B_D10-SIV_RNA3_Lib1_GL102_S21_nohmrRNA_noglobinLog,39987360
G288_Watkins07_AVR_r17017_B_D10-SIV_RNA1_Lib1_GL102_S64_nohmrRNA_noglobinLog,31408602
G292_Watkins07_Unvax_r12048_B_D0-SIV_RNA1_Lib1_GL104_S68_nohmrRNA_noglobinLog,46363950
G290_Watkins07_AVR_r17017_B_D14-SIV_RNA1_Lib1_GL105_S59_nohmrRNA_noglobinLog,50192438
G291_Watkins07_Unvax_r17039_B_D14-SIV_RNA1_Lib1_GL102_S15_nohmrRNA_noglobinLog,38384288
G295_Watkins07_AVR_rh3032_B_D0-SIV_RNA1_Lib1_GL104_S47_nohmrRNA_noglobinLog,39087331
G346_Watkins07_AVR_r17115_B_D10-SIV_RNA1_Lib1_GL104_S95_nohmrRNA_noglobinLog,42073613
G294_Watkins07_Unvax_r12048_B_D7-SIV_RNA1_Lib1_GL105_S69_nohmrRNA_noglobinLog,52729373
G293_Watkins07_Unvax_r12048_B_D3-SIV_RNA1_Lib1_GL102_S27_nohmrRNA_noglobinLog,35561086
G345_Watkins07_AVR_r17115_B_D7-SIV_RNA1_Lib1_GL104_S66_nohmrRNA_noglobinLog,38058894
G296_Watkins07_AVR_rh3033_B_D0-SIV_RNA1_Lib1_GL102_S66_nohmrRNA_noglobinLog,34682411
G298_Watkins07_AVR_rh3032_B_D3-SIV_RNA1_Lib1_GL104_S31_nohmrRNA_noglobinLog,42430371
G297_Watkins07_Unvax_r12048_B_D10-SIV_RNA1_Lib1_GL105_S71_nohmrRNA_noglobinLog,44676669
G211_Watkins07_AVR_r16007_B_D168_RNA1_Lib1_GL102_S105_nohmrRNA_noglobinLog,51850442
G300_Watkins07_Unvax_r05035_B_D0-SIV_RNA1_Lib1_GL105_S80_nohmrRNA_noglobinLog,46703074
G299_Watkins07_AVR_rh3033_B_D3-SIV_RNA1_Lib1_GL104_S54_nohmrRNA_noglobinLog,44225354
G301_Watkins07_Unvax_r05035_B_D3-SIV_RNA1_Lib1_GL102_S61_nohmrRNA_noglobinLog,36379408
G304_Watkins07_Unvax_r05035_B_D14-SIV_RNA1_Lib1_GL104_S64_nohmrRNA_noglobinLog,46590001
G303_Watkins07_Unvax_r05035_B_D10-SIV_RNA1_Lib1_GL104_S77_nohmrRNA_noglobinLog,58964447
G302_Watkins07_Unvax_r05035_B_D7-SIV_RNA1_Lib1_GL104_S101_nohmrRNA_noglobinLog,38644414
G307_Watkins07_Unvax_r14010_B_D3-SIV_RNA1_Lib2_GL105_S92_nohmrRNA_noglobinLog,35554064
G349_Watkins07_Unvax_r18066_B_D3-SIV_RNA1_Lib1_GL104_S39_nohmrRNA_noglobinLog,45041507
G306_Watkins07_Unvax_r14010_B_D0-SIV_RNA1_Lib1_GL102_S71_nohmrRNA_noglobinLog,45645627
G305_Watkins07_Unvax_r12048_B_D14-SIV_RNA1_Lib1_GL104_S11_nohmrRNA_noglobinLog,34275683
G308_Watkins07_Unvax_r14010_B_D7-SIV_RNA1_Lib1_GL104_S44_nohmrRNA_noglobinLog,37236858
G309_Watkins07_Unvax_r14010_B_D10-SIV_RNA1_Lib1_GL104_S57_nohmrRNA_noglobinLog,45673634
G310_Watkins07_Unvax_r14010_B_D14-SIV_RNA1_Lib1_GL102_S99_nohmrRNA_noglobinLog,44320875
G312_Watkins07_AVR_r14065_B_D4-SIV_RNA1_Lib1_GL102_S96_nohmrRNA_noglobinLog,40260429
G311_Watkins07_AVR_r14065_B_D0-SIV_RNA1_Lib1_GL105_S95_nohmrRNA_noglobinLog,46730221
G313_Watkins07_AVR_r14065_B_D7-SIV_RNA1_Lib1_GL102_S80_nohmrRNA_noglobinLog,47177358
G212_Watkins07_AVR_r17017_B_D168_RNA1_Lib1_GL102_S86_nohmrRNA_noglobinLog,42053598
G386_Watkins07_Unvax_rh2861_B_D10-SIV_RNA1_Lib1_GL104_S30_nohmrRNA_noglobinLog,38856274
G316_Watkins07_Unvax_r14095_B_D0-SIV_RNA1_Lib1_GL102_S75_nohmrRNA_noglobinLog,37828492
G348_Watkins07_Unvax_r18066_B_D0-SIV_RNA1_Lib1_GL105_S89_nohmrRNA_noglobinLog,48244597
G315_Watkins07_AVR_r14065_B_D14-SIV_RNA1_Lib1_GL105_S77_nohmrRNA_noglobinLog,53305914
G314_Watkins07_AVR_r14065_B_D10-SIV_RNA1_Lib1_GL102_S102_nohmrRNA_noglobinLog,48245223
G347_Watkins07_AVR_r17115_B_D14-SIV_RNA1_Lib1_GL104_S83_nohmrRNA_noglobinLog,47985209
G317_Watkins07_Unvax_r14095_B_D3-SIV_RNA1_Lib1_GL104_S49_nohmrRNA_noglobinLog,41042643
G319_Watkins07_Unvax_r14095_B_D10-SIV_RNA1_Lib1_GL102_S82_nohmrRNA_noglobinLog,42671526
G318_Watkins07_Unvax_r14095_B_D7-SIV_RNA1_Lib1_GL105_S62_nohmrRNA_noglobinLog,51700180
G320_Watkins07_Unvax_r14095_B_D14-SIV_RNA1_Lib1_GL104_S103_nohmrRNA_noglobinLog,39816205
G322_Watkins07_Unvax_r15057_B_D4-SIV_RNA1_Lib1_GL102_S8_nohmrRNA_noglobinLog,44450700
G321_Watkins07_Unvax_r15057_B_D0-SIV_RNA1_Lib1_GL104_S104_nohmrRNA_noglobinLog,40997567
G323_Watkins07_Unvax_r15057_B_D7-SIV_RNA1_Lib1_GL102_S103_nohmrRNA_noglobinLog,41076354
G324_Watkins07_Unvax_r15057_B_D10-SIV_RNA1_Lib1_GL104_S17_nohmrRNA_noglobinLog,46684695
G325_Watkins07_Unvax_r15057_B_D14-SIV_RNA1_Lib1_GL102_S69_nohmrRNA_noglobinLog,38369590
G326_Watkins07_Unvax_r15093_B_D0-SIV_RNA1_Lib1_GL102_S87_nohmrRNA_noglobinLog,40679225
G350_Watkins07_Unvax_r18066_B_D7-SIV_RNA1_Lib1_GL102_S60_nohmrRNA_noglobinLog,32682738
G327_Watkins07_Unvax_r15093_B_D3-SIV_RNA1_Lib1_GL102_S6_nohmrRNA_noglobinLog,77398774
G328_Watkins07_Unvax_r15093_B_D7-SIV_RNA1_Lib1_GL105_S75_nohmrRNA_noglobinLog,64814929
G331_Watkins07_AVR_r16007_B_D0-SIV_RNA1_Lib2_GL104_S98_nohmrRNA_noglobinLog,27164163
G329_Watkins07_Unvax_r15093_B_D10-SIV_RNA1_Lib1_GL102_S49_nohmrRNA_noglobinLog,36459000
G330_Watkins07_Unvax_r15093_B_D14-SIV_RNA1_Lib1_GL104_S89_nohmrRNA_noglobinLog,35121025
G213_Watkins07_AVR_r17115_B_D168_RNA1_Lib1_GL104_S25_nohmrRNA_noglobinLog,35834942
G333_Watkins07_AVR_r16007_B_D7-SIV_RNA1_Lib1_GL104_S52_nohmrRNA_noglobinLog,49049928
G334_Watkins07_AVR_r16007_B_D10-SIV_RNA1_Lib1_GL104_S86_nohmrRNA_noglobinLog,53111277
G332_Watkins07_AVR_r16007_B_D3-SIV_RNA1_Lib1_GL102_S95_nohmrRNA_noglobinLog,41834783
G336_Watkins07_Unvax_r17082_B_D-4-SIV_RNA1_Lib1_GL104_S28_nohmrRNA_noglobinLog,40586697
G387_Watkins07_Unvax_rh2861_B_D14-SIV_RNA1_Lib1_GL104_S76_nohmrRNA_noglobinLog,42765010
G335_Watkins07_AVR_r16007_B_D14-SIV_RNA1_Lib1_GL104_S81_nohmrRNA_noglobinLog,53100030
G337_Watkins07_Unvax_r17082_B_D10-SIV_RNA1_Lib1_GL104_S55_nohmrRNA_noglobinLog,46815686
G214_Watkins07_AVR_rh2932_B_D168_RNA1_Lib1_GL102_S7_nohmrRNA_noglobinLog,39778600
G352_Watkins07_Unvax_r18066_B_D13-SIV_RNA1_Lib1_GL104_S1_nohmrRNA_noglobinLog,37940684
G338_Watkins07_Unvax_r17100_B_D0-SIV_RNA1_Lib1_GL102_S47_nohmrRNA_noglobinLog,31624004
G351_Watkins07_Unvax_r18066_B_D10-SIV_RNA1_Lib1_GL102_S104_nohmrRNA_noglobinLog,44662047
G340_Watkins07_Unvax_r17100_B_D7-SIV_RNA1_Lib1_GL105_S74_nohmrRNA_noglobinLog,49746873
G339_Watkins07_Unvax_r17100_B_D4-SIV_RNA1_Lib1_GL104_S19_nohmrRNA_noglobinLog,47788706
G388_Watkins07_AVR_rh2932_B_D0-SIV_RNA1_Lib1_GL102_S57_nohmrRNA_noglobinLog,34815684
G341_Watkins07_Unvax_r17100_B_D10-SIV_RNA1_Lib1_GL102_S16_nohmrRNA_noglobinLog,41178154
G342_Watkins07_Unvax_r17100_B_D14-SIV_RNA1_Lib1_GL102_S43_nohmrRNA_noglobinLog,37767031
G215_Watkins07_AVR_rh2943_B_D168_RNA1_Lib1_GL104_S42_nohmrRNA_noglobinLog,35765124
G353_Watkins07_Unvax_rh2494_B_D0-SIV_RNA1_Lib1_GL102_S55_nohmrRNA_noglobinLog,38200748
G354_Watkins07_Unvax_rh2494_B_D3-SIV_RNA1_Lib1_GL104_S40_nohmrRNA_noglobinLog,36883200
G355_Watkins07_Unvax_rh2494_B_D7-SIV_RNA1_Lib1_GL102_S39_nohmrRNA_noglobinLog,39773726
G358_Watkins07_Unvax_rh2504_B_D0-SIV_RNA1_Lib1_GL105_S94_nohmrRNA_noglobinLog,49039911
G356_Watkins07_Unvax_rh2494_B_D11-SIV_RNA1_Lib1_GL105_S61_nohmrRNA_noglobinLog,54854572
G357_Watkins07_Unvax_rh2494_B_D14-SIV_RNA2_Lib1_GL102_S74_nohmrRNA_noglobinLog,43323072
G359_Watkins07_Unvax_rh2504_B_D3-SIV_RNA1_Lib1_GL102_S78_nohmrRNA_noglobinLog,35661286
G390_Watkins07_AVR_rh2932_B_D7-SIV_RNA1_Lib1_GL102_S46_nohmrRNA_noglobinLog,32072622
G360_Watkins07_Unvax_rh2504_B_D7-SIV_RNA1_Lib1_GL105_S90_nohmrRNA_noglobinLog,44308969
G361_Watkins07_Unvax_rh2504_B_D10-SIV_RNA1_Lib1_GL104_S80_nohmrRNA_noglobinLog,48964936
G362_Watkins07_Unvax_rh2504_B_D14-SIV_RNA1_Lib1_GL104_S8_nohmrRNA_noglobinLog,45020682
G364_Watkins07_Unvax_rh2527_B_D3-SIV_RNA1_Lib1_GL104_S63_nohmrRNA_noglobinLog,47753366
G391_Watkins07_AVR_rh2932_B_D10-SIV_RNA1_Lib1_GL105_S81_nohmrRNA_noglobinLog,48039120
G363_Watkins07_Unvax_rh2527_B_D0-SIV_RNA1_Lib1_GL104_S67_nohmrRNA_noglobinLog,46664987
G366_Watkins07_Unvax_rh2527_B_D10-SIV_RNA1_Lib1_GL104_S61_nohmrRNA_noglobinLog,44765542
G389_Watkins07_AVR_rh2932_B_D3-SIV_RNA1_Lib1_GL104_S78_nohmrRNA_noglobinLog,56307561
G367_Watkins07_Unvax_rh2527_B_D14-SIV_RNA1_Lib1_GL105_S76_nohmrRNA_noglobinLog,51397312
G365_Watkins07_Unvax_rh2527_B_D7-SIV_RNA1_Lib1_GL105_S82_nohmrRNA_noglobinLog,60305597
G368_Watkins07_Unvax_rh2756_B_D0-SIV_RNA1_Lib1_GL102_S3_nohmrRNA_noglobinLog,30954560
G369_Watkins07_Unvax_rh2756_B_D3-SIV_RNA1_Lib1_GL102_S9_nohmrRNA_noglobinLog,37136467
G370_Watkins07_Unvax_rh2756_B_D7-SIV_RNA1_Lib1_GL104_S9_nohmrRNA_noglobinLog,41483861
G373_Watkins07_Unvax_rh2810_B_D0-SIV_RNA1_Lib1_GL105_S86_nohmrRNA_noglobinLog,41209572
G372_Watkins07_Unvax_rh2756_B_D14-SIV_RNA1_Lib1_GL104_S48_nohmrRNA_noglobinLog,46632223
G371_Watkins07_Unvax_rh2756_B_D10-SIV_RNA1_Lib1_GL105_S68_nohmrRNA_noglobinLog,56238414
G216_Watkins07_AVR_rh3006_B_D168_RNA1_Lib1_GL102_S11_nohmrRNA_noglobinLog,37164351
G375_Watkins07_Unvax_rh2810_B_D7-SIV_RNA1_Lib1_GL104_S20_nohmrRNA_noglobinLog,39046052
G376_Watkins07_Unvax_rh2810_B_D10-SIV_RNA1_Lib1_GL102_S63_nohmrRNA_noglobinLog,36920169
G374_Watkins07_Unvax_rh2810_B_D3-SIV_RNA1_Lib1_GL104_S15_nohmrRNA_noglobinLog,39744037
G378_Watkins07_Unvax_rh2848_B_D0-SIV_RNA1_Lib1_GL104_S29_nohmrRNA_noglobinLog,36609106
G379_Watkins07_Unvax_rh2848_B_D3-SIV_RNA1_Lib1_GL102_S17_nohmrRNA_noglobinLog,35499519
G377_Watkins07_Unvax_rh2810_B_D14-SIV_RNA1_Lib1_GL102_S56_nohmrRNA_noglobinLog,41691949
G380_Watkins07_Unvax_rh2848_B_D7-SIV_RNA1_Lib1_GL104_S32_nohmrRNA_noglobinLog,38230050
G392_Watkins07_AVR_rh2932_B_D14-SIV_RNA1_Lib1_GL102_S90_nohmrRNA_noglobinLog,37851547
G382_Watkins07_Unvax_rh2848_B_D14-SIV_RNA1_Lib1_GL102_S83_nohmrRNA_noglobinLog,39118253
G381_Watkins07_Unvax_rh2848_B_D10-SIV_RNA1_Lib1_GL104_S99_nohmrRNA_noglobinLog,41567735
